['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['मठरी', 'पकौडी', 'पकौड़े', 'रबड़ी', 'पेड़े', 'पकौड़ा', 'बालूशाही']
['नुकीले', 'नुकीलें', 'नोकीला', 'नुकीलेपन', 'नुकीली', 'हकीला', 'भडकीला']
['अप्रासंगिकता', 'प्रासंगिक', 'आप्रासंगिक', 'अप्रसांगिक', 'गैरप्रासंगिक', 'यथास्थितिवादी', 'अप्रांसगिक']
['राजनितिक', 'सामाजिक', 'राजनैतिककरण', 'राजनतिक', 'राजनैतिकदल', 'कूटनैतिक', 'जनैतिक']
['संघविरोधी', 'अविरोधी', 'समर्थक', 'वामविरोधी', 'दलितविरोधी', 'मानबताविरोधी', 'पक्षविरोधी']
['अऋणात्मक', 'ऋणात्मकत', 'ऋणात्मकता', 'घनात्मक', 'धनात्मक', 'पुनःभरण', 'विद्युतऋणात्मक']
['क्रोधात्मक', 'अवरोधात्मक', 'विरोधात', 'अनुरोधात्मक', 'प्रतिशोधात्मक', 'विरोधात्\u200dमक', 'वोधात्मक']
['ऋणात्मक', 'धनात्', 'ऋनात्मक', 'धनात', 'घनात्मक', 'षून्य', 'वैद्युतधनात्मक']
['अवस्थाऒं', 'अवस्थाः', 'अवस्थाबोध', 'अवस्थाये', 'अवस्थाका', 'अवस्थात', 'अवस्थाएं']
['संशोधऩ', 'संशोधनके', 'संशोधना', 'अधिनियम', 'संशोधानो', 'संशोधनयौन', 'शंशोधन']
['भरपाइ', 'भरपायी', '54,890', 'भररपाई', 'भरपाया', 'भरपार्इ', 'नुकसान']
['अपूर्ति', 'पूर्ति\u200d', 'अंकपूर्ति', 'अभिपूर्ति', 'पूर्तधर्म', 'पदपूर्ति', 'अभावपूर्ति']
['ब्रजशृंगार', 'सुरशृंगार', 'लक्षणशृंगार', 'सोलह_शृंगार', 'सुंदरशृंगार', 'जॉबटीनटूनटेनिसटॉपलेसट्विंकडडचडबलडीपथ्रोटडेस्कततंगतिकड़ीतिकड़ीतुर्कीथथाईथोंगददर्ददादीदिखावटीदुर्व्यवहारदुल्हनदूधदृश्यरतिधधूम्रपानधोखाननकदनंगा', 'जॉबटीनटूनटेनिसटैटूटॉपलेसट्विंकडडचडबलडीपथ्रोटडेस्कततंगतिकड़ीतुर्कीथथाईथोंगददर्ददाईदादादादीदिखावटीदुर्व्यवहारदुल्हनदूधधधारा']
['दुतरफ़ा', 'चउतरफा', 'चोतरफा', 'सबतरफा', 'हाजतरफा', 'चौरतरफा', 'चैतरफा']
['चिह्नं', 'चिह्नï', 'चिह्नृ', 'चिह्नयू', 'चिह्नका', 'चिह्नः', 'चिह्नने']
['नवीनीकरणों', 'नवीनीकृत', 'नवीकरण', 'नवीनीकरणराज्य', 'करनानवीनीकरण', 'नवीनीकरणविनय', 'नवीनीकरणीय']
['गिनतारे', 'गिनतार', 'नैनतारा', 'बनतारा', 'गिनति', 'एबेकस', 'गिनता']
['कसैलापन', 'चरपरापन', 'कड़ुवा', 'कसैले', 'कसैलेपन', 'कड़ुआ', 'चरपरा']
['अपकर्षन', 'अपकर्षी', 'अपकर्षपरक', 'अपकर्षिणी', 'अपकर्षकाल', 'अपकर्षण', 'अपकर्षक']
['केसइन', 'साथं', 'पदाथरें', 'निस्सादन', 'पदाथरे', 'तेजकाय', 'फेनक']
['बसूल', 'मसूला', 'रंदा', 'बसूली', 'रंदे', 'हथौड़ी', 'बटों']
['अफ़ग़ानो', 'अफ़ग़ान', 'अफ़ग़ानों', 'अफ़ग़ानियों', 'अफ़ग़ानिसतान', 'अफ़ग़ानपुर', 'अफ़ग़ानिस्तानी']
['राजस्थानी_के_लिए_साहित्य_अकादमी_पुरस्कार_विजेताओं_की_सूची', 'नेहरू_कप_अंतरराष्ट्रीय_फ़ुटबॉल_प्रतियोगिता', 'भारतीय_नौसेना_अकादमी', 'दिल्ली_विश्\u200dवविद्यालय_के_भूतपूर्व_छात्रों_की_सूची', 'न्यूज़ब्लॉगभूकंपभोजपुरीमेकअपमौसमयहूदीयुद्धरमज़ान', 'भारतीय_सब्जी_अनुसंधान_संस्थान', 'भारत_के_आयुर्विज्ञान_महाविद्यालयों_की_सूची']
['विश्व_के_प्रमुख_हवाई_अड्डे', 'सड़कों_की_ज्यामितीय_डिजाइन', 'शतरंज_के_नियम', 'लक्ष्मीबाई_राष्ट्रीय_शारीरिक_शिक्षा_विश्वविद्यालय', 'दिल्ली_विश्\u200dवविद्यालय_के_भूतपूर्व_छात्रों_की_सूची', 'जनपदोंमेंखाद्य', 'परमाणु_उर्जा_आयोग']
['एलबमों', 'एल्बम', 'एलबमअमेरिका', 'एलबमन', 'संटालम', 'अलबम', 'अएलबम']
['ऐलकोहलीय', 'ऐलकोहली', 'ऐलकोहल', 'ऐलकोहेल', 'विलकोव', 'ऐलकोहोलेंट', 'ऐलकोहलों']
['असंभव', 'मुमकिन', 'करना', 'पाना', 'नहीं', 'संम्भव', 'जरूरी']
['मनुष्यारोपित', 'अद्यारोपित', 'हत्यारोपित', 'करारोपित', 'अध्यारोपण', 'अध्यारोपापवाद', 'गुणारोपित']
['असंभवहम', 'कठिन', 'असम्भव', 'नामुमकिन', 'असंभवः', 'मुश्किल', 'असंभवे']
['नामर्दों', 'नामर्दी', 'मर्द', 'नामर्दगी', 'नामर्दा', 'जवाँमर्द', 'चूतिये']
['प्रभावशाली', 'बलशाली', 'शातिशाली', 'शाक्तिशाली', 'अतिशक्तिशाली', 'शक्ति', 'शक्\u200dतिशाली']
['बाध्य', 'दी.विवश', 'मज़बूर', 'विवशतः', 'विवशत', 'लिएविवश', 'मज़बूर']
['अधिकारपूर्णता', 'अनधिकारपूर्ण', 'अधिकारपूर्वक', 'संस्कारपूर्ण', 'आधारपूर्ण', 'व्यवहारपूर्ण', 'एकाधिकारपूर्ण']
['කූ', 'mpge', 'मखहा', 'जहका', 'माषतैल', 'mम', 'ढोआ']
['परआकृष्ट', 'निष्कृष्ट', 'पराकृष्ट', 'अपिकृष्ट', 'उष्कृष्ट', 'सर्वोत्वकृष्ट', 'ध्यानाकृष्ट']
['एंबुलेस', 'एबुलेंस', 'एंबुलेंसों', 'ऐम्बुलेंस', 'ऐंबुलेंस', 'एम्बुलेंस', 'एेंबुलेंस']
['एंफ़ीथियेटर', 'एम्फीथियेटर', 'थ\u200dियेटर', 'एम्फिथियेटर', 'एम्पीथियेटर', 'एम्फ़ीथियेटर', 'एम्फीथियेटरम्']
['एसेप्टिक', 'एन्टिसेप्टिक', 'ऐंटीसेप्टिक', 'असेप्टिक', 'ऐन्टीसेप्टिक', 'एन्टीसेप्टिक', 'एंटीएपिलेप्टिक']
['निहाईयां', 'हथोड़ा', 'नुनिहाई', 'निहाहुँ', 'नजिहाई', 'निहाऽ', 'बर्छी']
['सिद्घ', 'सिद्द', 'सिद्व', 'सिद्ध्', 'कोसिद्ध', 'सिद्धोदय', 'सिध्द']
['वास्तुशास्त्री', 'वास्तुशास्त्रा', 'कोवास्तुशास्त्र', 'वास्तुशास्त', 'वास्तुशास्त्रियों', 'वास्तुशास्त्', 'वास्तुशास्त्रीय']
['वर्गफिट', 'वर्गफ़ीट', 'वर्ग1', 'वर्गगज', 'वर्गफीट', 'वर्गफुट', 'वर्गए']
['बाजूबन्द', 'बाजूं', 'बदरजहा', 'बाजू़', 'बाज़ूबंद', 'बाजूTop', 'बोरला']
['हुङकार', 'किनकू', 'फॉलआउट', 'हृसित', 'कवचों', 'फ़ोरैमिनीफ़ैरा', 'प्त्यंगिरा']
['बाणों', 'शब्दभेदी', 'वाण', 'नाराच', 'तालतृण', 'इषुकार', 'तीर']
['टेटतराई', 'मितराई', 'कोडतराई', 'लुतराई', 'तराईबासी', 'राईतराई', 'डूमरतराई']
['आसूदानी', 'साहनी4', 'सुखदानी', 'साहनीआज', 'साहनी25', 'साहनी8', 'साहनी28']
['सभामंड़प', 'लतामंडप', 'सभामंडपमें', 'सभामंडल', 'महामंडप', 'मणिमंडप', 'आजमंडप']
['पेक्षागृह', 'प्रेक्षागार', 'शिक्षागृह', 'लक्षागृह', 'रक्षागृह', 'प्रेक्षाग्रह', 'कक्षागृह']
['धुरीण', 'धुरीधर', 'घूर्णन', 'झुगने', 'धुरीसाँझ', 'नर्तनधुरी', 'धुरीन']
['आॅफि\u200dसक', '৩জনের', 'लिगल', 'रुटो', 'वाचेज', 'अलटाबा', '2334Jul31']
